file,seed,result,objective,time,steps,intervals,T,maxT,mean_tau,max_tau,min_tau,std_tau,buffer_cost,real_objective,cplex_x_1_objective,cplex_x_1_real_objective,cplex_x_1_time,cplex_x_1_relative_objective,cplex_x_1_real_relative_objective,cplex_x_1_relative_time,cplex_x_10_objective,cplex_x_10_real_objective,cplex_x_10_time,cplex_x_10_relative_objective,cplex_x_10_real_relative_objective,cplex_x_10_relative_time,cplex_x_100_objective,cplex_x_100_real_objective,cplex_x_100_time,cplex_x_100_relative_objective,cplex_x_100_real_relative_objective,cplex_x_100_relative_time,cplex_x_1000_objective,cplex_x_1000_real_objective,cplex_x_1000_time,cplex_x_1000_relative_objective,cplex_x_1000_real_relative_objective,cplex_x_1000_relative_time
simple_reentrant_K800_I40_T1600_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1000_data.dat,1000,0,18231982297,10.42244506,1711,816,1600,1822.768517,1.960784314,622.0891986,4.89E-06,29.38614126,19799906177,1567923881,17891434774,1908471403,0.046872854,0.018678579,0.217196464,0.004497299,18199251289,1600654888,0.43746686,0.001795252,0.020875381,0.041973535,18229344177,1570562000,6.101146698,0.000144697,0.001682556,0.585385355,18231857085,1568049092,148.9082854,6.87E-06,7.99E-05,14.28726988
simple_reentrant_K800_I40_T1600_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1001_data.dat,1001,0,18364890796,10.36932158,1591,803,1600,1603.126799,1.99252802,540.429323,1.02E-06,27.00277562,19605748612,1240857816,18013693862,1592054751,0.062494516,0.019123279,0.28302754,0.006026866,18331830771,1273917841,0.40622282,0.001800175,0.02664288,0.039175448,18362250561,1243498051,5.500242949,0.000143765,0.00212775,0.530434214,18364764208,1240984404,151.9053974,6.89E-06,0.000102017,14.64950201
simple_reentrant_K800_I40_T1600_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1002_data.dat,1002,0,18882871831,10.63695335,1468,809,1600,inf,1.977750309,643.1156809,7.32E-06,27.28067355,20486932338,1604060507,18530632327,1956300010,0.062495947,0.018653916,0.219592405,0.005875362,18849139897,1637792441,0.404440165,0.001786377,0.021029091,0.038022181,18880122811,1606809527,5.951637268,0.000145583,0.001713788,0.559524619,18882746161,1604186177,202.1188653,6.66E-06,7.83E-05,19.00157484
simple_reentrant_K800_I40_T1600_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1003_data.dat,1003,0,18490965485,12.21729374,1973,812,1600,2556.185909,1.97044335,749.3542713,3.06E-07,30.06789745,19508492792,1017527307,18144553671,1363939120,0.062494755,0.018734112,0.340444734,0.00511527,18458266201,1050226591,0.406211853,0.001768392,0.032136025,0.033248923,18488362289,1020130503,5.044227839,0.000140782,0.002558355,0.412876038,18490838392,1017654400,131.6308625,6.87E-06,0.000124904,10.7741424
simple_reentrant_K800_I40_T1600_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1004_data.dat,1004,0,19092911265,12.07704592,1995,821,1600,1610.20239,1.948842875,858.1887298,5.23E-06,32.5496078,20031033363,938122098.4,18732123479,1298909885,0.078120232,0.018896426,0.384585106,0.006468488,19058539024,972494339.5,0.440623522,0.001800262,0.036639411,0.036484379,19090112346,940921016.8,5.334547997,0.000146595,0.002983533,0.441709672,19092781361,938252002.5,267.2617486,6.80E-06,0.000138473,22.12972861
simple_reentrant_K800_I40_T1600_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1005_data.dat,1005,0,18709767029,11.85467529,1806,828,1600,inf,1.93236715,682.1629728,2.67E-07,27.23614223,19735449552,1025682522,18358718493,1376731059,0.046869755,0.018762849,0.342258476,0.003953694,18676226359,1059223193,0.390600204,0.001792682,0.032700831,0.032949043,18707136388,1028313163,5.308370352,0.000140603,0.002564771,0.447787073,18709636349,1025813203,105.4260788,6.98E-06,0.000127408,8.893206789
simple_reentrant_K800_I40_T1600_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1006_data.dat,1006,0,19354408784,11.60041523,1699,820,1600,inf,1.951219512,1128.909454,5.55E-07,39.92994516,20204836529,850427745.6,18982947065,1221889465,0.046869516,0.019192615,0.436793979,0.004040331,19319123262,885713267.1,0.421844244,0.001823126,0.041491498,0.036364581,19351591030,853245498.7,6.453456879,0.000145587,0.003313336,0.556312576,19354276995,850559533.9,165.9234395,6.81E-06,0.000154967,14.30323279
simple_reentrant_K800_I40_T1600_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1007_data.dat,1007,0,18577731452,10.81744409,1589,817,1600,inf,1.958384333,785.6585287,1.44E-07,30.84976537,19519156311,941424859.3,18216203993,1302952319,0.062494993,0.019460259,0.384021577,0.005777242,18543493485,975662826.7,0.381196022,0.001842957,0.036368242,0.03523901,18574995714,944160597.4,5.618849754,0.000147259,0.002905955,0.519424895,18577603042,941553269,130.3580031,6.91E-06,0.000136399,12.05072123
simple_reentrant_K800_I40_T1600_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1008_data.dat,1008,0,18310901337,8.976670742,1376,790,1600,inf,2.025316456,837.4969106,5.05E-07,35.83115274,19825906615,1515005279,17975718931,1850187684,0.062496185,0.018305074,0.221241741,0.006962067,18278700113,1547206503,0.438698769,0.001758582,0.021254859,0.048870988,18308309558,1517597057,6.589975357,0.000141543,0.001710739,0.734122432,18310774680,1515131936,237.7479255,6.92E-06,8.36E-05,26.48508922
simple_reentrant_K800_I40_T1600_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1009_data.dat,1009,0,19180255675,11.13340425,1763,832,1600,inf,1.923076923,1142.936146,2.70E-06,40.04504181,20296448486,1116192811,18812457025,1483991461,0.062496901,0.019175899,0.329511753,0.005613458,19145338634,1151109852,0.374292612,0.001820468,0.031282266,0.033618883,19177557329,1118891157,5.250468254,0.000140683,0.002417454,0.471595941,19180127129,1116321357,107.0134134,6.70E-06,0.000115165,9.611922012
simple_reentrant_K1200_I60_T2400_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1000_data.dat,1000,0,93321993955,50.58109951,3000,1216,2400,2712.020143,1.973684211,1382.56441,4.51E-08,41.03002477,99550669238,6228675283,92137451031,7413218207,0.198542118,0.012693073,0.190175739,0.003925223,93208372396,6342296843,0.671824932,0.001217522,0.018241689,0.013282134,93312375993,6238293245,8.723710299,0.000103062,0.001544142,0.172469764,93321461876,6229207363,209.3407731,5.70E-06,8.54E-05,4.138715353
simple_reentrant_K1200_I60_T2400_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1001_data.dat,1001,0,94993406632,52.89569187,2999,1188,2400,2941.877482,2.02020202,1059.631953,3.34E-07,38.8400548,1.0068E+11,5686657497,93779151892,6900912236,0.093743324,0.012782516,0.213526969,0.00177223,94876759229,5803304900,0.591556549,0.001227953,0.020512472,0.011183454,94983629783,5696434346,8.456756592,0.000102921,0.001719261,0.159876094,94992884861,5687179268,237.4444525,5.49E-06,9.18E-05,4.488918551
simple_reentrant_K1200_I60_T2400_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1002_data.dat,1002,0,91585514634,54.43489528,3403,1204,2400,2448.976701,1.993355482,1235.829953,1.95E-06,37.92741063,97649030363,6063515729,90425211912,7223818451,0.109367371,0.012669064,0.191358079,0.002009141,91473318142,6175712221,0.685158491,0.001225046,0.018503538,0.012586751,91575970710,6073059653,9.355724096,0.000104208,0.001573992,0.171869975,91585004406,6064025957,254.0697372,5.57E-06,8.41E-05,4.667405639
simple_reentrant_K1200_I60_T2400_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1003_data.dat,1003,0,91039411026,61.84793186,2554,1209,2400,3515.379824,1.985111663,1209.293867,1.05E-06,37.48835194,97678882349,6639471323,89883768240,7795114109,0.078120708,0.012693874,0.174056447,0.001263109,90929053447,6749828902,0.64056921,0.001212196,0.016621441,0.010357165,91030197028,6648685321,8.524046183,0.000101209,0.001387761,0.137822655,91038910376,6639971972,236.5672061,5.50E-06,7.54E-05,3.824981677
simple_reentrant_K1200_I60_T2400_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1004_data.dat,1004,0,90512849982,48.39310956,2504,1224,2400,5770.376129,1.960784314,1096.179371,1.10E-06,36.75100475,95769386782,5256536800,89345426981,6423959801,0.093740463,0.01289787,0.222089761,0.001937062,90400520297,5368866485,0.545719862,0.001241036,0.021369523,0.011276809,90503336529,5266050253,8.121093273,0.000105106,0.001809833,0.167815074,90512330690,5257056093,353.1624043,5.74E-06,9.88E-05,7.297782835
simple_reentrant_K1200_I60_T2400_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1005_data.dat,1005,0,91309329931,53.03224683,3196,1224,2400,653632.4825,1.960784314,1541.319625,1.60E-06,46.21587478,97122622799,5813292868,90141840148,6980782652,0.09374404,0.012786095,0.200831063,0.00176768,91195736738,5926886061,0.6405797,0.001244048,0.019540249,0.01207906,91299879734,5822743065,8.49546814,0.000103497,0.001625619,0.160194385,91308816838,5813805962,218.4363658,5.62E-06,8.83E-05,4.118934779
simple_reentrant_K1200_I60_T2400_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1006_data.dat,1006,0,93164825606,51.9434464,3400,1195,2400,4418.010767,2.008368201,1093.035678,9.26E-07,37.10232131,98186316031,5021490425,91991910663,6194405368,0.078119516,0.012589676,0.233579046,0.001503934,93051291913,5135024118,0.537109613,0.001218633,0.022609561,0.010340277,93155205559,5031110472,7.361762047,0.000103258,0.001915775,0.141726484,93164304673,5022011358,283.5152619,5.59E-06,0.000103741,5.458152694
simple_reentrant_K1200_I60_T2400_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1007_data.dat,1007,0,90838833484,51.59871793,3226,1216,2400,inf,1.973684211,1031.297262,2.36E-06,33.21401763,98385950158,7547116674,89679388584,8706561574,0.078106642,0.012763758,0.153627531,0.001513732,90727169642,7658780516,0.5610075,0.001229252,0.014795563,0.010872509,90829274686,7556675471,8.959259033,0.000105228,0.00126655,0.173633365,90838316861,7547633297,322.0909548,5.69E-06,6.85E-05,6.242227864
simple_reentrant_K1200_I60_T2400_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1008_data.dat,1008,0,92896084290,57.2670269,3799,1199,2400,inf,2.001668057,818.1770862,3.92E-07,28.04806662,97889927533,4993843243,91712205217,6177722317,0.09261775,0.012744122,0.237067728,0.001617296,92781509894,5108417640,0.64056468,0.001233361,0.02294313,0.011185576,92886488451,5003439082,9.181010723,0.000103296,0.001921534,0.160319318,92895549513,4994378020,400.2334647,5.76E-06,0.000107087,6.988898959
simple_reentrant_K1200_I60_T2400_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1009_data.dat,1009,0,93533279477,55.91204119,3071,1261,2400,inf,1.903251388,1529.165569,8.09E-07,44.25679436,1.00334E+11,6800978491,92335660509,7998597458,0.093745232,0.012804202,0.176095097,0.001676656,93417021534,6917236434,0.57562995,0.001242958,0.017094297,0.010295277,93523606303,6810651665,8.405884981,0.00010342,0.001422321,0.150341229,93532780460,6801477507,249.7701321,5.34E-06,7.34E-05,4.467197526
simple_reentrant_K600_I30_T1200_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1000_data.dat,1000,0,6112739110,5.498944283,1557,624,1200,5034.911399,1.923076923,804.5746631,3.13E-06,33.2610222,6485406660,372667549.9,5960231771,525174888.5,0.124982119,0.0249491,0.409231603,0.022516252,6098404065,387002594.4,0.280416489,0.00234511,0.038466039,0.050518653,6111688530,373718129.6,3.61894536,0.000171867,0.00281908,0.651973952,6112696591,372710068.8,130.6691284,6.96E-06,0.000114093,23.54079977
simple_reentrant_K600_I30_T1200_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1001_data.dat,1001,0,6095280018,3.858547449,919,613,1200,3899.761717,1.957585644,959.8887213,4.01E-06,38.99281901,6344581796,249301777.7,5942011207,402570588.6,0.046871901,0.025145491,0.614792291,0.011295092,6080678471,263903324.5,0.249983549,0.00239555,0.058569766,0.060240508,6094145233,250436562.8,3.226830959,0.000186174,0.004551853,0.777594909,6095232171,249349625,90.48393083,7.85E-06,0.000191926,21.80462654
simple_reentrant_K600_I30_T1200_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1002_data.dat,1002,0,5836781839,4.621337891,1185,627,1200,inf,1.913875598,503.2903156,8.05E-06,25.35156305,6085385927,248604088.4,5690981687,394404240.2,0.043674231,0.024979545,0.586475278,0.00887118,5823139204,262246723,0.299520016,0.002337356,0.054876952,0.060838987,5835741624,249644303.6,3.395961523,0.000178217,0.004184224,0.689793167,5836736797,248649130.8,120.7175019,7.72E-06,0.000181181,24.52033316
simple_reentrant_K600_I30_T1200_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1003_data.dat,1003,0,5781176026,4.877731562,1331,621,1200,3002.315487,1.93236715,583.7645316,1.40E-06,25.23363316,6270230862,489054835.3,5640123356,630107505.9,0.031247139,0.024398612,0.288418927,0.006034863,5767746829,502484032.2,0.296837568,0.002322918,0.027459491,0.057329215,5780137930,490092931.3,3.523988008,0.000179565,0.002122658,0.68059939,5781129754,489101107.1,85.95797515,8.00E-06,9.46E-05,16.60134635
simple_reentrant_K600_I30_T1200_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1004_data.dat,1004,0,6273812134,4.703000546,1303,612,1200,1202.163918,1.960784314,405.5978899,4.62E-06,24.68496381,6532617316,258805181.7,6115780998,416836318.4,0.031247139,0.025189013,0.610618132,0.006159636,6259089210,273528106.1,0.249981642,0.002346727,0.056888059,0.049277977,6272720764,259896552.3,3.217735529,0.000173957,0.004216958,0.634300569,6273766304,258851011.9,98.13916183,7.30E-06,0.000177084,19.34581809
simple_reentrant_K600_I30_T1200_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1005_data.dat,1005,0,6099828858,4.410209894,1128,625,1200,inf,1.92,978.3090444,1.89E-06,39.21194866,6386270445,286441586.1,5945875245,440395199.9,0.046874523,0.025239005,0.537469492,0.009709954,6085253274,301017170.4,0.246905088,0.002389507,0.050885014,0.051145846,6098711347,287559097.5,3.378181219,0.000183204,0.003901359,0.699782807,6099779699,286490745.3,102.0229161,8.06E-06,0.00017162,21.1338226
simple_reentrant_K600_I30_T1200_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1006_data.dat,1006,0,6040502133,4.8640275,1273,625,1200,inf,1.92,590.9082045,1.39E-07,26.61166728,6312547635,272045501.4,5889362508,423185127,0.054740906,0.025021037,0.555567451,0.010786962,6026429375,286118259.7,0.304386377,0.002329733,0.051729429,0.05998082,6039437570,273110064.4,3.907151222,0.000176237,0.00391318,0.769923205,6040457011,272090623.6,123.2933824,7.47E-06,0.000165863,24.29556235
simple_reentrant_K600_I30_T1200_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1007_data.dat,1007,0,5882417065,4.520076275,1242,606,1200,inf,1.98019802,802.6172505,2.95E-06,33.55284991,6255575500,373158434.9,5734525318,521050181.2,0.04433322,0.025141323,0.396324276,0.009262764,5868363343,387212156.5,0.249968767,0.002389107,0.037661541,0.052227239,5881364577,374210922.8,3.465481758,0.000178921,0.002820485,0.72406063,5882369945,373205554.5,109.9783633,8.01E-06,0.000126272,22.97833564
simple_reentrant_K600_I30_T1200_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1008_data.dat,1008,0,6128996151,4.803533792,1289,606,1200,3611.038175,1.98019802,790.3064324,2.38E-06,32.98962623,6340140325,211144174.6,5976665781,363474544.4,0.041376114,0.024854049,0.721451918,0.008053688,6114816414,225323911.4,0.265606642,0.00231355,0.067156656,0.051699222,6127921786,212218539.2,4.207793474,0.000175292,0.005088299,0.819029403,6128951075,211189250.5,233.884341,7.35E-06,0.000213484,45.52460889
simple_reentrant_K600_I30_T1200_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1009_data.dat,1009,0,5766933831,4.158256292,1145,610,1200,inf,1.967213115,856.4239298,4.48E-06,35.15976913,6122178637,355244806.4,5624034022,498144615.5,0.046873808,0.024779166,0.402257279,0.010039568,5753285075,368893562.2,0.249983788,0.002366727,0.038420705,0.053542254,5765880323,356298314.4,3.308107138,0.000182681,0.002965583,0.708539998,5766887447,355291190.7,115.8402934,8.04E-06,0.00013057,24.81101061
simple_reentrant_K1000_I50_T2000_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1000_data.dat,1000,0,44775135587,16.88246965,2054,1014,2000,3382.255923,1.972386588,946.4206837,8.68E-07,37.11694163,47569138560,2794002973,44104765647,3464372913,0.218748093,0.014971924,0.23993172,0.01104085,44710381745,2858756815,0.56545949,0.001446201,0.02317601,0.028540379,44769881400,2799257160,15.44161129,0.000117346,0.001880523,0.779382866,44774869262,2794269298,730.8015778,5.95E-06,9.53E-05,36.88567321
simple_reentrant_K1000_I50_T2000_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1001_data.dat,1001,0,44820589684,18.16570544,2387,1009,2000,2981.469869,1.982160555,1615.024489,1.33E-07,51.17031489,47388001155,2567411472,44129288311,3258712845,0.077848196,0.015423746,0.269260062,0.002985033,44753695242,2634305914,0.421840668,0.001492494,0.026055209,0.016175178,44815074966,2572926190,9.054578781,0.00012304,0.002147968,0.347191328,44820311297,2567689858,224.396131,6.21E-06,0.000108431,8.604308663
simple_reentrant_K1000_I50_T2000_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1002_data.dat,1002,0,45683020604,21.86390734,2931,1027,2000,181016.2102,1.947419669,996.7071112,9.33E-07,36.10454169,48687422150,3004401546,44989077423,3698344727,0.072510004,0.015190396,0.230975511,0.002130492,45616043860,3071378290,0.497872114,0.001466119,0.022292874,0.014628496,45677500236,3009921914,10.09346938,0.000120841,0.001837427,0.296566681,45682738085,3004684065,284.9514861,6.18E-06,9.40E-05,8.372454818
simple_reentrant_K1000_I50_T2000_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1003_data.dat,1003,0,44955482845,19.77652192,2500,1015,2000,2011.193468,1.97044335,1405.649889,1.77E-06,44.69042864,47357790148,2402307303,44260846516,3096943631,0.078117847,0.015451649,0.289153818,0.002903385,44889292491,2468497656,0.499949217,0.001472353,0.027552825,0.018581477,44950003558,2407786590,14.20492101,0.000121883,0.002280844,0.527950438,44955204966,2402585182,561.7267509,6.18E-06,0.000115672,20.87754545
simple_reentrant_K1000_I50_T2000_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1004_data.dat,1004,0,44721535958,21.86557555,2964,1029,2000,inf,1.943634597,728.6046345,7.00E-07,29.24669987,47712112520,2990576562,44046765916,3665346604,0.062494755,0.015088257,0.225632091,0.002126662,44656298658,3055813862,0.466830254,0.001458745,0.021814288,0.015885976,44716217806,2995894713,8.671252012,0.000118917,0.001778303,0.295077914,44721261453,2990851067,199.1297319,6.14E-06,9.18E-05,6.776274742
simple_reentrant_K1000_I50_T2000_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1005_data.dat,1005,0,45015698098,18.83048224,2283,1033,2000,2138.985843,1.936108422,1085.304413,1.31E-06,35.17028521,47732498616,2716800518,44332500964,3399997652,0.078119755,0.015176864,0.251471218,0.003081774,44950521068,2781977549,0.437466383,0.001447873,0.023990363,0.017257768,45010287801,2722210815,8.026747942,0.000120187,0.001991422,0.31665006,45015416471,2717082146,229.211201,6.26E-06,0.000103662,9.042234918
simple_reentrant_K1000_I50_T2000_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1006_data.dat,1006,0,44942271568,17.79280257,2148,1013,2000,2285.790217,1.974333662,1265.374669,4.76E-07,40.77008068,47387864493,2445592925,44242823379,3145041114,0.062495708,0.015563258,0.286003522,0.002399451,44876023900,2511840593,0.437454462,0.001474061,0.027088592,0.016795561,44936906937,2450957556,7.833996773,0.000119367,0.002193591,0.300777305,44942006916,2445857577,286.6753964,5.89E-06,0.000108216,11.00657245
simple_reentrant_K1000_I50_T2000_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1007_data.dat,1007,0,44335073599,24.48982072,3269,1042,2000,2127.034099,1.919385797,812.7449222,1.68E-06,34.64448539,46785056730,2449983131,43647256608,3137800122,0.078118563,0.01551406,0.280743562,0.002383189,44268716528,2516340202,0.440370798,0.001496717,0.027084705,0.013434536,44329797144,2455259586,7.718207836,0.000119013,0.00215367,0.235461889,44334802206,2450254523,167.549484,6.12E-06,0.000110773,5.111486858
simple_reentrant_K1000_I50_T2000_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1008_data.dat,1008,0,45187035426,17.95198202,2142,996,2000,13692.85868,2.008032129,620.4746165,1.40E-08,25.6213155,48222448525,3035413099,44501056325,3721392200,0.078119516,0.015180883,0.225992008,0.00295097,45121668933,3100779592,0.453097582,0.001446576,0.021534628,0.017115791,45181584067,3040864458,9.309333086,0.00012064,0.00179592,0.351660676,45186756362,3035692163,497.953959,6.18E-06,9.19E-05,18.8102439
simple_reentrant_K1000_I50_T2000_ccs0_cs10_alpha_rate10.08_alpha_rate20.045_seed1009_data.dat,1009,0,44330598040,18.13135552,2255,1012,2000,inf,1.976284585,830.6064059,2.13E-07,30.91199812,47138259782,2807661742,43655658753,3482601029,0.062493801,0.015225134,0.240391952,0.002630716,44266118251,2872141531,0.466878891,0.001454521,0.022965654,0.019653564,44325247050,2813012732,8.061916351,0.000120706,0.001905853,0.339371505,44330321319,2807938463,195.1252759,6.24E-06,9.86E-05,8.213922802
